pt0,pt1,pt2,pt3,pt4,pt5,pt6,pt7,lc0,lc1,timestamp
79.9070053101,728.0536499023,-14.7550830841,-15.4052829742,,,,,-28.382358551,,1770496274.668915
79.9070053101,728.0920410156,-15.3806009293,-15.2230291367,,,,,-27.5946273804,,1770496274.6766348
79.8461303711,728.1304931641,-14.9390554428,-15.1015338898,,,,,-27.71692276,,1770496274.6889238
79.419883728,728.5531005859,-15.307012558,-15.2230291367,,,,,-27.2385292053,,1770496274.7758899
79.9070053101,728.3610229492,-14.9390554428,-15.7090082169,,,,,-27.5802383423,,1770496274.786295
79.4807815552,728.3225708008,-14.644701004,-16.6202545166,,,,,-27.4795246124,,1770496274.797942
79.419883728,728.3225708008,-15.2334241867,-15.1015338898,,,,,-27.9759025574,,1770496274.807714
79.3590087891,728.3225708008,-14.9390554428,-15.6482725143,,,,,-27.5694484711,,1770496274.819906
79.7852325439,728.0151977539,-14.9758491516,-15.7697677612,,,,,-27.1450061798,,1770496274.830843
79.3590087891,728.0151977539,-15.2702178955,-15.2230291367,,,,,-27.4687347412,,1770496274.841602
79.8461303711,728.3994140625,-14.9390554428,-15.2230291367,,,,,-27.4399585724,,1770496274.852363
79.2981338501,728.3610229492,-14.9758491516,-16.0127563477,,,,,-27.4615383148,,1770496274.8638961
79.8461303711,728.4378662109,-14.9390554428,-15.0407981873,,,,,-27.4291667938,,1770496274.874795
80.0287780762,728.2841796875,-14.9758491516,-15.1015338898,,,,,-27.6234016418,,1770496274.886334
79.8461303711,728.3610229492,-14.9758491516,-15.1622934341,,,,,-27.0299034119,,1770496274.8959339
79.3590087891,728.3610229492,-15.2702178955,-15.2230291367,,,,,-27.9219474792,,1770496274.907852
79.9679031372,728.3994140625,-14.9758491516,-15.2230291367,,,,,-27.3176593781,,1770496274.9190369
79.8461303711,728.2841796875,-14.9022607803,-15.1622934341,,,,,-27.6341915131,,1770496274.930262
79.9679031372,728.3994140625,-15.2702178955,-15.2230291367,,,,,-27.5370750427,,1770496274.940695
79.7243270874,728.3610229492,-14.9390554428,-15.58751297,,,,,-27.4399585724,,1770496274.952371
79.419883728,728.4378662109,-15.2334241867,-15.2230291367,,,,,-27.6485805511,,1770496274.9803379
79.9070053101,727.9768066406,-15.2334241867,-15.1622934341,,,,,-27.3176593781,,1770496274.991383
79.9070053101,728.3994140625,-15.2334241867,-15.1622934341,,,,,-27.3644218445,,1770496275.004838
79.7852325439,728.2457275391,-14.9390554428,-14.6155548096,,,,,-27.3860034943,,1770496275.0127811
79.8461303711,728.2841796875,-15.123041153,-15.1622934341,,,,,-27.3356456757,,1770496275.024122
79.8461303711,728.0920410156,-14.8654661179,-15.4052829742,,,,,-27.5514640808,,1770496275.035373
79.9070053101,728.3610229492,-14.7918777466,-15.1622934341,,,,,-27.2888851166,,1770496275.046697
79.9679031372,727.9768066406,-15.2702178955,-15.1622934341,,,,,-27.206155777,,1770496275.056832
79.9679031372,728.4762573242,-15.2702178955,-15.1622934341,,,,,-27.2996768951,,1770496275.0694861
79.9070053101,728.0151977539,-15.2334241867,-15.1622934341,,,,,-27.6377906799,,1770496275.083209
79.9070053101,728.0536499023,-15.2702178955,-15.1622934341,,,,,-27.3320484161,,1770496275.0911748
79.8461303711,728.0536499023,-15.2702178955,-15.3445234299,,,,,-27.71692276,,1770496275.1042151
79.9679031372,728.0151977539,-15.2334241867,-15.1622934341,,,,,-27.5550613403,,1770496275.113704
79.8461303711,728.0920410156,-14.9758491516,-15.8912620544,,,,,-27.5658512115,,1770496275.124337
79.7243270874,728.3994140625,-15.1966295242,-15.1015338898,,,,,-27.2565135956,,1770496275.136032
79.7243270874,728.3225708008,-14.9390554428,-15.1622934341,,,,,-27.3320484161,,1770496275.1459782
79.9070053101,728.3994140625,-14.6814947128,-15.2230291367,,,,,-27.6665649414,,1770496275.1577148
